regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,mdeberta_ft,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.800254145981801
lodo,Finance,mdeberta_ft,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7997203400243955
lodo,Finance,mdeberta_ft,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7986164671576876
lodo,Finance,mdeberta_ft,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.7969581375283344
lodo,Finance,mdeberta_ft,s13,0.5,0.256,0.314,0.422,0.264,0.7947400233694135
lodo,Finance,mdeberta_ft,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.7919360829695283
lodo,Finance,mdeberta_ft,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7884977165653849
lodo,Finance,mdeberta_ft,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7843495584612429
lodo,Finance,mdeberta_ft,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7793821295396243
lodo,Finance,mdeberta_ft,s13,1.0,0.512,0.28,0.55,0.17,0.7734398476781
lodo,Finance,mdeberta_ft,s42,0.0,0.0,0.348,0.294,0.358,0.7715563730955305
lodo,Finance,mdeberta_ft,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7723266550940019
lodo,Finance,mdeberta_ft,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.7723772193885793
lodo,Finance,mdeberta_ft,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.771756729149458
lodo,Finance,mdeberta_ft,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.7704881855122903
lodo,Finance,mdeberta_ft,s42,0.5,0.256,0.314,0.422,0.264,0.7685716527413762
lodo,Finance,mdeberta_ft,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7659847991013805
lodo,Finance,mdeberta_ft,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.7626813845361861
lodo,Finance,mdeberta_ft,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7585874654677575
lodo,Finance,mdeberta_ft,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.753594665572065
lodo,Finance,mdeberta_ft,s42,1.0,0.512,0.28,0.55,0.17,0.747549249339109
lodo,Finance,xlmr_dapt,s100,0.0,0.0,0.348,0.294,0.358,0.7793618019252229
lodo,Finance,xlmr_dapt,s100,0.1,0.0512,0.3412,0.3196,0.3392,0.7821809568378372
lodo,Finance,xlmr_dapt,s100,0.2,0.1024,0.3344,0.3452,0.3204,0.7843438836876784
lodo,Finance,xlmr_dapt,s100,0.3,0.1536,0.3276,0.3708,0.3016,0.7859223788229541
lodo,Finance,xlmr_dapt,s100,0.4,0.2048,0.3208,0.3964,0.2828,0.7869640427199128
lodo,Finance,xlmr_dapt,s100,0.5,0.256,0.314,0.422,0.264,0.7874958865447921
